"","Page","Position_Name","Company_Name","Location_Name"
"227",8,"PatientIQ","DataAnalyst","ChicagoIL"
"228",8,"ChicagoTeachersPensionFund","DataAnalyst","ChicagoIL"
"229",8,"VitalityGroupInc","DataVisualizationAnalyst","ChicagoIL"
"230",8,"FarmersFridge","DataScientist","ChicagoIL"
"231",8,"iSpottv","DataAnalyst","ChicagoIL"
"232",8,"Pinterest","BusinessAnalystContentCreators","ChicagoIL"
"233",8,"AvisonYoung","DataAnalyst","ChicagoIL"
"234",8,"LevelEx","DataAnalyst","ChicagoIL"
"235",8,"UnitedAirlines","InternPeopleAnalyticsSummer2023","ChicagoIL"
"236",8,"fairlifeLLC","AnalystDataDecisionIntelligence","ChicagoIL"
"237",8,"UnitedAirlines","AnalystMarketingAnalytics","ChicagoIL"
"238",8,"UniversityofChicago","DataAnalyst","ChicagoIL"
"239",8,"Fetch","DataAnalyticsInternshipUIUCCareerFair","ChicagoIL"
"240",8,"MagnoliaCapital","DataAnalyst","ChicagoIL"
"241",8,"FamilyChristian","DataAnalyst","HarveyIL"
"242",8,"MagnoliaCapital","DataEngineerInternship","ChicagoIL"
"243",8,"TheParkingSpot","DataAnalyst","ChicagoIL"
"244",8,"SynecticsInc","DataAnalyst","ChicagoIL"
"245",8,"StaffingNetworkLLC","EntrylevelVirtualDataEntryAnalystAssistantRemote","ChicagoIL"
"246",8,"RedwoodLogistics","DataAnalyst","ChicagoIL"
"247",8,"KaufmanHall","DataScientist","ChicagoIL"
"248",8,"AlliantCreditUnion","DataAnalyst","ChicagoIL"
"249",8,"PlanetTechnology","DataAnalyst","ChicagoIL"
"250",8,"MuseumofScienceandIndustryChicago","MarketingManager","ChicagoIL"
"251",9,"TheFieldMuseum","DataAnalyst","ChicagoIL"
"252",9,"PatientIQ","DataAnalyst","ChicagoIL"
"253",9,"ChicagoTeachersPensionFund","DataAnalyst","ChicagoIL"
"254",9,"VitalityGroupInc","DataVisualizationAnalyst","ChicagoIL"
"255",9,"FarmersFridge","DataScientist","ChicagoIL"
"256",9,"iSpottv","DataAnalyst","ChicagoIL"
"257",9,"Pinterest","BusinessAnalystContentCreators","ChicagoIL"
